naics_code,busyness_count,busyness_value,annual_pay,worker_count
21,25417,529239818,59461950,848189
211,6735,310960365,15137960,176222
2111,6735,310960365,15137960,176222
21111,6735,310960365,15137960,176222
211111,6398,271148770,13917174,161685
211112,337,39811595,1220786,14537
212,6091,98287014,14061227,211830
2121,969,42254286,6721878,88728
21211,969,42254286,6721878,88728
212111,545,19648954,2617518,35664
212112,372,22319635,4068631,52329
212113,52,285697,35729,735
2122,321,29095642,3061247,40897
21221,21,4769386,415783,6021
212210,21,4769386,415783,6021
21222,189,10177240,1273530,15306
212221,174,9519847,1201317,14179
212222,15,657393,72213,1127
21223,55,12424485,1008156,14773
212231,16,1680830,170295,2218
212234,39,10743655,837861,12555
21229,56,1724531,363778,4797
212291,30,195909,58800,973
212299,26,1528622,304978,3824
2123,4801,26937086,4278102,82205
21231,2471,12164383,2114273,41421
212311,238,368608,100299,2860
212312,1483,8020504,1394706,26369
212313,353,1851378,278389,5208
212319,397,1923893,340879,6984
21232,2095,8140498,1417677,28502
212321,1840,4850716,967835,19600
212322,140,1732976,203832,4168
212324,30,852519,138559,2405
212325,85,704287,107451,2329
21239,235,6632205,746152,12282
212391,25,2903263,335538,5109
212392,11,2486447,159073,2510
212393,28,538362,103871,1873
212399,171,704133,147670,2790
213,12591,119992439,30262763,460137
2131,12591,119992439,30262763,460137
21311,12591,119992439,30262763,460137
213111,2179,30735287,8439260,115466
213112,9659,84790406,20601811,323523
213113,296,1819026,540163,9499
213114,230,2058588,529407,8658
213115,227,589132,152122,2991
22,17595,531890695,58922951,651234
221,17595,531890695,58922951,651234
2211,10330,430079295,49936923,522010
22111,2678,120025497,14847230,146701
221111,405,2452297,274179,3464
221112,1416,81473633,7997908,82071
221113,141,28867709,5698273,51354
221119,716,7231858,876870,9812
22112,7652,310053798,35089693,375309
221121,250,9959166,1407906,12465
221122,7402,300094632,33681787,362844
2212,2419,89568130,6681677,83937
22121,2419,89568130,6681677,83937
221210,2419,89568130,6681677,83937
2213,4846,12243270,2304351,45287
22131,4039,9437810,1841726,36352
221310,4039,9437810,1841726,36352
22132,712,1377034,301017,6849
221320,712,1377034,301017,6849
22133,95,1428426,161608,2086
221330,95,1428426,161608,2086
23,598065,1366427090,272546238,5669623
236,164496,507521675,55308182,1085043
236115,30380,39978406,4863245,123029
236116,1788,19252457,1655557,23997
236117,16093,81501113,5410496,92009
236118,77855,52495637,9485311,278921
236210,2622,25216663,4346835,74057
236220,35758,289077399,29546738,493031
237,32619,256314687,54713628,961322
237110,10086,39971320,8120310,153177
237120,2101,41452362,10808120,174432
237130,5707,44410158,12315651,226608
237210,2448,6533003,930179,17357
237310,8854,99289053,16997750,302042
237990,3423,24658790,5541617,87707
238,400950,602590728,162524428,3623257
238110,17070,29343506,7299666,189724
238120,3248,9896586,2954888,62247
238130,10451,8737972,2019233,64981
238140,16627,15766809,4671247,129426
238150,4693,7663024,1980725,42935
238160,16615,28218735,6175371,162763
238170,7145,4952885,1042740,32194
238190,4553,7385510,2134667,41863
238210,64653,124204217,36276438,707244
238220,86914,149483385,41631290,842421
238290,6623,24796459,7854782,127666
238310,16823,27442142,8066529,202303
238320,29744,18808923,6072218,178737
238330,12352,11190334,2325849,60104
238340,8448,5956560,1705133,47089
238350,29288,19363060,4389800,122805
238390,5175,7281537,2257099,55939
238910,34217,66067735,14867881,334140
238990,26311,36031352,8798872,218675
31,297191,5696729632,593397004,11214165
311,25619,739272444,54656609,1401968
3111,1690,57905651,2219970,44873
31111,1690,57905651,2219970,44873
311111,299,21542114,934258,16915
311119,1391,36363537,1285712,27958
3112,807,101456328,2959378,52765
31121,404,20401625,798741,15878
311211,305,15142667,565179,10971
311212,68,3900772,174103,3893
311213,31,1358186,59459,1015
31122,340,70241214,1353088,23435
311221,64,12984071,457523,6606
311222,108,37822454,364446,6504
311223,42,2671707,70050,1319
311225,126,16762982,461069,9006
31123,63,10813489,807549,13452
311230,63,10813489,807549,13452
3113,1856,33086098,3014769,69716
31131,78,10553752,692638,13049
311311,18,2407669,208830,3636
311312,29,3490946,186406,3047
311313,31,4655137,297402,6367
31132,164,4339545,306405,6348
311320,164,4339545,306405,6348
31133,1173,10529518,1137835,31052
311330,1173,10529518,1137835,31052
31134,441,7663283,877891,19267
311340,441,7663283,877891,19267
3114,1704,69924527,6544613,166050
31141,698,30272088,3207752,90236
311411,220,12181152,1127719,33766
311412,478,18090936,2080033,56470
31142,1006,39652439,3336861,75814
311421,690,23528071,2102792,48840
311422,112,9499919,620685,11850
311423,204,6624449,613384,15124
3115,1597,107425876,6448129,130980
31151,1211,100403442,5639994,112681
311511,439,36742979,2608137,50723
311512,37,2887438,86150,1883
311513,541,41240173,2072390,44374
311514,194,19532852,873317,15701
31152,386,7022434,808135,18299
311520,386,7022434,808135,18299
3116,3597,199563443,15457953,487070
31161,3597,199563443,15457953,487070
311611,1506,91831936,5274828,155169
311612,1346,44419369,3627901,98335
311613,213,5287437,423273,9065
311615,532,58024701,6131951,224503
3117,597,10758078,1260804,32876
31171,597,10758078,1260804,32876
311711,79,1201417,91528,2654
311712,518,9556661,1169276,30222
3118,10552,64626292,9486458,258343
31181,9418,36799942,6562414,188400
311811,6509,3115888,1009464,52183
311812,2672,28112270,4816022,115634
311813,237,5571784,736928,20584
31182,772,24151765,2354644,52720
311821,344,11482526,1338602,29953
311822,282,8808875,784601,18354
311823,146,3860364,231441,4413
31183,362,3674585,569400,17224
311830,362,3674585,569400,17224
3119,3219,94526151,7264535,159295
31191,617,31747996,1930929,44016
311911,243,11127118,703766,16719
311919,374,20620878,1227163,27297
31192,449,13192711,835322,15340
311920,449,13192711,835322,15340
31193,146,8751671,416914,7043
311930,146,8751671,416914,7043
31194,701,19189283,1707788,30990
311941,328,10032303,723391,14573
311942,373,9156980,984397,16417
31199,1306,21644490,2373582,61907
311991,702,10156599,1292587,37985
311999,604,11487891,1080995,23922
312,5072,142234911,7592548,148332
3121,4958,102051343,6680215,134205
31211,1193,48564228,2974501,63221
312111,458,42129308,2374597,49374
312112,294,5738850,442057,9077
312113,441,696070,157847,4771
31212,874,28398158,1506646,26336
312120,874,28398158,1506646,26336
31213,2640,15471316,1772088,37659
312130,2640,15471316,1772088,37659
31214,251,9617641,426980,6989
312140,251,9617641,426980,6989
3122,114,40183568,912333,14127
31221,14,1489937,72696,2377
