IndustryID,States,gdp_pi
1,Alabama,187534
2,Alabama,155279
3,Alabama,2192
4,Alabama,1453
5,Alabama,739
6,Alabama,3158
7,Alabama,1287
8,Alabama,1760
9,Alabama,110
10,Alabama,5111
11,Alabama,7808
12,Alabama,32681
13,Alabama,19096
14,Alabama,828
15,Alabama,574
16,Alabama,4079
17,Alabama,2206
18,Alabama,1124
19,Alabama,1071
20,Alabama,603
21,Alabama,5277
22,Alabama,2247
23,Alabama,577
24,Alabama,510
25,Alabama,13585
26,Alabama,2112
27,Alabama,592
28,Alabama,255
29,Alabama,2711
30,Alabama,181
31,Alabama,2909
32,Alabama,3546
33,Alabama,1281
34,Alabama,10369
35,Alabama,13135
36,Alabama,5281
37,Alabama,118
38,Alabama,724
39,Alabama,263
40,Alabama,2044
41,Alabama,116
42,Alabama,428
43,Alabama,935
44,Alabama,654
45,Alabama,4248
46,Alabama,1033
47,Alabama,204
48,Alabama,2843
49,Alabama,167
50,Alabama,29773
51,Alabama,9608
52,Alabama,5244
53,Alabama,676
54,Alabama,3429
55,Alabama,259
56,Alabama,20165
57,Alabama,18308
58,Alabama,1857
59,Alabama,17396
60,Alabama,10662
61,Alabama,2054
62,Alabama,2426
63,Alabama,6182
64,Alabama,1872
65,Alabama,4862
66,Alabama,4386
67,Alabama,475
68,Alabama,13904
69,Alabama,996
70,Alabama,12907
71,Alabama,7537
72,Alabama,4691
73,Alabama,680
74,Alabama,5282
75,Alabama,630
76,Alabama,220
77,Alabama,410
78,Alabama,4651
79,Alabama,735
80,Alabama,3916
81,Alabama,4944
82,Alabama,32254
83,Alabama,7640
84,Alabama,4299
85,Alabama,20315
86,Alabama,5349
87,Alabama,23505
88,Alabama,10392
89,Alabama,45838
90,Alabama,109441
1,Alaska,58485
2,Alaska,48016
3,Alaska,406
4,Alaska,17
5,Alaska,389
6,Alaska,18257
7,Alaska,14540
8,Alaska,2252
9,Alaska,1466
10,Alaska,670
11,Alaska,2196
12,Alaska,1055
13,Alaska,189
14,Alaska,30
15,Alaska,36
16,Alaska,3
17,Alaska,58
18,Alaska,8
19,Alaska,20
20,Alaska,1
21,Alaska,2
22,Alaska,18
23,Alaska,6
24,Alaska,8
25,Alaska,866
26,Alaska,556
27,Alaska,4
28,Alaska,0
29,Alaska,0
30,Alaska,25
31,Alaska,238
32,Alaska,33
33,Alaska,10
34,Alaska,1138
35,Alaska,2063
36,Alaska,6038
37,Alaska,673
38,Alaska,0
39,Alaska,243
40,Alaska,313
41,Alaska,114
42,Alaska,3800
43,Alaska,845
44,Alaska,50
45,Alaska,1172
46,Alaska,93
47,Alaska,40
48,Alaska,989
49,Alaska,50
50,Alaska,5885
51,Alaska,1071
52,Alaska,650
53,Alaska,71
54,Alaska,313
55,Alaska,37
56,Alaska,4814
57,Alaska,4132
58,Alaska,682
59,Alaska,3584
60,Alaska,2161
61,Alaska,193
62,Alaska,156
63,Alaska,1812
64,Alaska,363
65,Alaska,1061
66,Alaska,829
67,Alaska,232
68,Alaska,3265
69,Alaska,135
70,Alaska,3131
71,Alaska,1539
72,Alaska,1141
73,Alaska,450
74,Alaska,1481
75,Alaska,243
76,Alaska,71
77,Alaska,172
78,Alaska,1237
79,Alaska,478
80,Alaska,760
81,Alaska,807
82,Alaska,10468
83,Alaska,2073
84,Alaska,2455
85,Alaska,5941
86,Alaska,18663
87,Alaska,3201
88,Alaska,6708
89,Alaska,21914
90,Alaska,26102
1,Arizona,267188
2,Arizona,228938
3,Arizona,1920
4,Arizona,1334
5,Arizona,586
6,Arizona,6497
7,Arizona,7
8,Arizona,6431
9,Arizona,59
10,Arizona,5262
11,Arizona,11887
12,Arizona,23332
13,Arizona,18957
14,Arizona,157
15,Arizona,560
16,Arizona,756
17,Arizona,1408
18,Arizona,677
19,Arizona,8108
20,Arizona,273
21,Arizona,481
22,Arizona,4984
23,Arizona,282
24,Arizona,1270
