code,industry_id,Description
1,1,All industry total (new field)
2,2, Private industries (new field)
11,3,"  Agriculture, forestry, fishing, and hunting"
111,4,   Farms
113,5,"   Forestry, fishing, and related activities"
21,6,"Mining, quarrying, and oil and gas extraction"
211,7,Oil and gas extraction
212,8,Mining (except oil and gas)
213,9,Support activities for mining
22,10,Utilities
23,11,Construction
31,12,Manufacturing
310,13, Durable goods manufacturing (new field)
321,14,Wood product manufacturing
327,15,Nonmetallic mineral product manufacturing
331,16,Primary metal manufacturing
332,17,Fabricated metal product manufacturing
333,18,Machinery manufacturing
334,19,Computer and electronic product manufacturing
335,20,"Electrical equipment, appliance, and component manufacturing"
3361,21,Motor vehicle manufacturing
3364,22,Aerospace product and parts manufacturing
337,23,Furniture and related product manufacturing
339,24,Miscellaneous manufacturing
309,25,Nondurable goods manufacturing (new filed)
311,26,Food manufacturing
313,27,Textile mills
315,28,Apparel manufacturing
322,29,Paper manufacturing
323,30,Printing and related support activities
324,31,Petroleum and coal products manufacturing
325,32,Chemical manufacturing
326,33,Plastics and rubber products manufacturing
42,34,Wholesale trade
44,35,Retail trade
48,36,Transportation and warehousing (104)
481,37,Air transportation
482,38,   Rail transportation
483,39,Water transportation
484,40,Truck transportation
485,41,Transit and ground passenger transportation
486,42,Pipeline transportation
487,43,Scenic and sightseeing transportation
493,44,Warehousing and storage
51,45,Information
511,46,Publishing industries (except internet)
512,47,Motion picture and sound recording industries
515,48,Broadcasting (except internet)
518,49,"Data processing, hosting, and related services"
52,50,Finance and insurance
57,51,   Finance and insurance (new field)
521,52,Monetary authorities - central bank
523,53,"Securities, commodity contracts, and other financial investments and related activities"
524,54,Insurance carriers and related activities
525,55,"    Funds, trusts, and other financial vehicles (new field) "
53,56,Real estate and rental and leasing
531,57,Real estate
532,58,Rental and leasing services
54,59,"Professional, scientific, and technical services"
542,60,"   Professional, scientific, and technical services"
5411,61,Legal services
5415,62,Computer systems design and related services
5412,63,"Accounting, tax preparation, bookkeeping, and payroll services"
55,64,Management of companies and enterprises
56,65,Administrative and support and waste management and remediation services
561,66,Administrative and support services
562,67,Waste management and remediation services
61,68,Educational services
59,69,Education services (new field) 
62,70,Health care and social assistance
621,71,Ambulatory health care services
622,72,Hospitals
624,73,Social assistance
71,74,"Arts, entertainment, and recreation"
72,75,"   Arts, entertainment, and recreation (new field) "
711,76,"Performing arts, spectator sports, and related industries"
713,77,"Amusement, gambling, and recreation industries"
72,78,Accommodation and food services
721,79,Accommodation
722,80,Food services and drinking places
81,81,Other services (except public administration)
