States,States,Jobs
11-1011,Alabama,1030
11-1021,Alabama,26930
Nov-11,Alabama,50
Nov-21,Alabama,530
Nov-22,Alabama,2510
Nov-31,Alabama,400
Nov-11,Alabama,640
Nov-21,Alabama,3260
Nov-31,Alabama,4990
Nov-51,Alabama,3110
Nov-61,Alabama,950
Nov-71,Alabama,610
Nov-11,Alabama,90
Nov-21,Alabama,1320
Nov-31,Alabama,150
Nov-13,Alabama,0
Nov-21,Alabama,3010
Nov-31,Alabama,120
Nov-32,Alabama,3460
Nov-33,Alabama,2460
Nov-41,Alabama,2410
Nov-51,Alabama,2250
Nov-71,Alabama,0
Nov-81,Alabama,520
Nov-11,Alabama,2960
Nov-21,Alabama,140
Nov-31,Alabama,280
Nov-41,Alabama,440
Nov-51,Alabama,1190
Nov-61,Alabama,180
Nov-99,Alabama,2010
13-1011,Alabama,0
13-1021,Alabama,250
13-1022,Alabama,310
13-1023,Alabama,6240
13-1031,Alabama,3730
13-1032,Alabama,0
13-1041,Alabama,1400
13-1051,Alabama,2180
13-1074,Alabama,0
13-1078,Alabama,0
13-1081,Alabama,3460
13-1111,Alabama,4590
13-1121,Alabama,400
13-1141,Alabama,590
13-1151,Alabama,2670
13-1161,Alabama,3110
13-1199,Alabama,6870
13-2011,Alabama,15360
13-2021,Alabama,710
13-2031,Alabama,860
13-2041,Alabama,490
13-2051,Alabama,1420
13-2052,Alabama,2060
13-2053,Alabama,960
13-2061,Alabama,1030
13-2071,Alabama,80
13-2072,Alabama,3740
13-2081,Alabama,1110
13-2082,Alabama,590
13-2099,Alabama,740
15-1111,Alabama,310
15-1121,Alabama,4020
15-1131,Alabama,6590
15-1132,Alabama,5500
15-1133,Alabama,4000
15-1141,Alabama,1600
15-1142,Alabama,4410
15-1150,Alabama,0
15-1179,Alabama,0
15-1799,Alabama,0
15-2011,Alabama,60
15-2021,Alabama,0
15-2031,Alabama,720
15-2041,Alabama,170
15-2091,Alabama,0
17-1011,Alabama,1110
17-1012,Alabama,40
17-1021,Alabama,170
17-1022,Alabama,570
17-2011,Alabama,4470
17-2021,Alabama,0
17-2031,Alabama,0
17-2041,Alabama,510
17-2051,Alabama,3970
17-2061,Alabama,1460
17-2071,Alabama,4330
17-2072,Alabama,2250
17-2081,Alabama,760
17-2111,Alabama,410
17-2112,Alabama,4930
17-2121,Alabama,0
17-2131,Alabama,540
17-2141,Alabama,3460
17-2151,Alabama,180
17-2161,Alabama,200
17-2171,Alabama,130
17-2199,Alabama,3440
17-3011,Alabama,1100
17-3012,Alabama,310
17-3013,Alabama,590
17-3021,Alabama,190
17-3022,Alabama,1600
17-3023,Alabama,2020
17-3024,Alabama,110
17-3025,Alabama,210
17-3026,Alabama,1130
17-3027,Alabama,710
17-3029,Alabama,830
17-3031,Alabama,700
19-1011,Alabama,0
19-1012,Alabama,0
19-1013,Alabama,40
19-1021,Alabama,30
19-1022,Alabama,110
19-1023,Alabama,80
19-1029,Alabama,220
19-1031,Alabama,110
19-1032,Alabama,220
19-1041,Alabama,40
19-1042,Alabama,190
19-2011,Alabama,0
19-2012,Alabama,190
19-2021,Alabama,0
19-2031,Alabama,650
19-2032,Alabama,80
19-2041,Alabama,880
19-2042,Alabama,280
19-2043,Alabama,0
19-2099,Alabama,80
19-3011,Alabama,30
19-3022,Alabama,0
19-3031,Alabama,560
19-3032,Alabama,0
19-3039,Alabama,130
19-3041,Alabama,0
19-3051,Alabama,360
19-3091,Alabama,80
19-3092,Alabama,0
19-3093,Alabama,40
19-3094,Alabama,0
19-3099,Alabama,0
19-4011,Alabama,100
19-4021,Alabama,340
19-4031,Alabama,930
19-4041,Alabama,90
19-4051,Alabama,0
19-4061,Alabama,0
19-4091,Alabama,340
19-4092,Alabama,270
19-4093,Alabama,240
19-4099,Alabama,890
21-1011,Alabama,830
21-1012,Alabama,3360
