soc_name,sector
Farm Equipment Mechanics and Service Technicians,11
Farmers; Ranchers; and Other Agricultural Managers,11
Buyers and Purchasing Agents; Farm Products,11
Farm Labor Contractors,11
Agricultural Engineers,11
Animal Scientists,11
Soil and Plant Scientists,11
Zoologists and Wildlife Biologists,11
Conservation Scientists,11
Foresters,11
Forest and Conservation Technicians,11
Veterinarians,11
Forest Fire Inspectors and Prevention Specialists,11
Fish and Game Wardens,11
First-Line Supervisors of Farming; Fishing; and Forestry Workers,11
Agricultural Inspectors,11
Animal Breeders,11
Graders and Sorters; Agricultural Products,11
Miscellaneous Agricultural Workers,11
Fishers and Related Fishing Workers,11
Hunters and Trappers,11
Forest and Conservation Workers,11
Fallers,11
Logging Equipment Operators,11
Log Graders and Scalers,11
Mining and Geological Engineers; Including Mining Safety Engineers,21
Petroleum Engineers,21
Geoscientists; Except Hydrologists and Geographers,21
Hydrologists,21
Geographers,21
Geological and Petroleum Technicians,21
Derrick Operators; Oil and Gas,21
Rotary Drill Operators; Oil and Gas,21
Service Unit Operators; Oil; Gas; and Mining,21
Earth Drillers; Except Oil and Gas,21
Explosives Workers; Ordnance Handling Experts; and Blasters,21
Continuous Mining Machine Operators,21
Mine Cutting and Channeling Machine Operators,21
Rock Splitters; Quarry,21
Roof Bolters; Mining,21
Roustabouts; Oil and Gas,21
Helpers–Extraction Workers,21
Riggers,21
Gas Plant Operators,21
Petroleum Pump System Operators; Refinery Operators; and Gaugers,21
Camera and Photographic Equipment Repairers,22
Watch Repairers,22
Maintenance and Repair Workers; General,22
Coin; Vending; and Amusement Machine Servicers and Repairers,22
Commercial Divers,22
Locksmiths and Safe Repairers,22
Signal and Track Switch Repairers,22
Helpers–Installation; Maintenance; and Repair Workers,22
Installation; Maintenance; and Repair Workers; All Other,22
Coil Winders; Tapers; and Finishers,22
Electrical and Electronic Equipment Assemblers,22
Electromechanical Equipment Assemblers,22
Structural Metal Fabricators and Fitters,22
Team Assemblers,22
Timing Device Assemblers and Adjusters,22
Extruding and Forming Machine Setters; Operators; and Tenders; Synthetic and Glass Fibers,22
Fabric and Apparel Patternmakers,22
Upholsterers,22
Cabinetmakers and Bench Carpenters,22
Furniture Finishers,22
Model Makers; Wood,22
Patternmakers; Wood,22
Sawing Machine Setters; Operators; and Tenders; Wood,22
Woodworking Machine Setters; Operators; and Tenders; Except Sawing,22
Nuclear Power Reactor Operators,22
Power Distributors and Dispatchers,22
Power Plant Operators,22
Stationary Engineers and Boiler Operators,22
Water and Wastewater Treatment Plant and System Operators,22
Chemical Plant and System Operators,22
Plant and System Operators; All Other,22
Refuse and Recyclable Material Collectors,22
Environmental Engineers,22
Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,22
Environmental Engineering Technicians,22
Nuclear Technicians,22
Forensic Science Technicians,22
Probation Officers and Correctional Treatment Specialists,22
Social and Human Service Assistants,22
Clergy,22
Lawyers,22
Judicial Law Clerks,22
Administrative Law Judges; Adjudicators; and Hearing Officers,22
Judges; Magistrate Judges; and Magistrates,22
Paralegals and Legal Assistants,22
Title Examiners; Abstractors; and Searchers,22
Interpreters and Translators,22
First-Line Supervisors of Correctional Officers,22
First-Line Supervisors of Police and Detectives,22
First-Line Supervisors of Fire Fighting and Prevention Workers,22
Firefighters,22
Fire Inspectors and Investigators,22
Bailiffs,22
Correctional Officers and Jailers,22
Detectives and Criminal Investigators,22
Parking Enforcement Workers,22
Police and Sheriff’s Patrol Officers,22
Transit and Railroad Police,22
Animal Control Workers,22
Private Detectives and Investigators,22
Security Guards,22
Crossing Guards,22
Funeral Attendants,22
Funeral Service Managers; Directors; Morticians; and Undertakers,22
Barbers,22
Hairdressers; Hairstylists; and Cosmetologists,22
Makeup Artists; Theatrical and Performance,22
Manicurists and Pedicurists,22
Shampooers,22
